fund_name,fund_known_activist,activist_label,issuer_name,ticker,sector,regime,entry_date,entry_filing_id,entry_holding_pct,entry_price,entry_mktcap,filing_purpose_text,purpose_flags,important_proposal_text,direction,ambiguous_flag,control_flag,going_private_flag,going_private_kw,source_url,submit_datetime,shares_held,outstanding_shares,indiv_corp,doc_title,filer_edinet,entry_pbr,entry_equity_ratio,entry_net_cash_ratio,entry_roe,stable_holder_pct,proposal_made,proposal_type,agm_result,company_response,exit_date,exit_filing_id,exit_price,holding_months,entry_to_exit_return,trap_label,exit_reason,notes
タイヨウ・パシフィック・パートナーズ・エルピー(Taiyo Pacific Partners L.P.),True,Taiyo,株式会社アルバック,6728,N/A,post2023,2025-06-04,S100VWMV,8.27,N/A,N/A,純投資及び状況に応じて経営陣への助言、重要提案行為等を行うこと。,,重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VWMV?type=2,2025-06-11 15:47,4081400,49355938,法人（アメリカ合衆国デラウェア州法に基づくリミテッド・パートナーシップ）,変更報告書 No. 3,E37410,,,,,,,,,,,,,,,,,
オービス・インベストメント・マネジメント・リミテッド（Orbis Investment Management Limited）,False,,スギホールディングス株式会社,7649,N/A,post2023,2025-05-23,S100VUNL,4.66,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと。,,状況に応じて重要提案行為等を行う予定である。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VUNL?type=2,2025-05-30 15:37,8845730,189992514,法人（外国法人）,変更報告書No.5,E09662,,,,,,,,,,,,,,,,,
みさき投資株式会社,True,Misaki Capital,日本電子株式会社,6951,N/A,post2023,2025-05-21,S100VTDB,4.69,N/A,N/A,弊社の『働く株主(R)』というコンセプトと、日本版スチュワードシップ・コードの精神に則り、『経営者と投資家の建設的対話を通じた中長期的な投資リターンの拡大』を実現するため,,重要提案行為等を行う可能性　有,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VTDB?type=2,2025-05-28 15:33,2419400,51532800,法人（株式会社）,変更報告書 2,E32221,,,,,,,,,,,,,,,,,
みさき投資株式会社,True,Misaki Capital,株式会社サカイ引越センター,9039,N/A,post2023,2025-05-16,S100VS8Y,4.43,N/A,N/A,弊社の『働く株主(R)』というコンセプトと、日本版スチュワードシップ・コードの精神に則り、『経営者と投資家の建設的対話を通じた中長期的な投資リターンの拡大』を実現するため,,重要提案行為等を行う可能性　有,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VS8Y?type=2,2025-05-23 15:33,1875700,42324000,法人（株式会社）,変更報告書　14,E32221,,,,,,,,,,,,,,,,,
タイヨウ・パシフィック・パートナーズ・エルピー(Taiyo Pacific Partners L.P.),True,Taiyo,NISSHA株式会社,7915,N/A,post2023,2025-05-14,S100VRWU,4.18,N/A,N/A,純投資及び状況に応じて経営陣への助言、重要提案行為等を行うこと。,,重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VRWU?type=2,2025-05-21 15:35,2125700,50855638,法人（アメリカ合衆国デラウェア州法に基づくリミテッド・パートナーシップ）,変更報告書No. 7,E37410,,,,,,,,,,,,,,,,,
ニッポン・アクティブ・バリュー・ファンド（NIPPON ACTIVE VALUE FUND PLC）,True,Dalton/NipponActiveValue,ブロードメディア株式会社,4347,N/A,post2023,2025-05-13,S100VRRO,3.25,N/A,N/A,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、ニッポン・アクティブ・バリュー・ファンドは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VRRO?type=2,2025-05-20 15:38,243800,7500000,法人,変更報告書No.10,E36104,,,,,,,,,,,,,,,,,
"ダルトン・インベストメンツ・インク（Dalton Investments, Inc.）",True,Dalton/NipponActiveValue,天馬株式会社,7958,N/A,post2023,2025-05-09,S100VPVN,0.0,N/A,N/A,提出者は、発行者の株価が過小評価されており魅力的な投資機会であると考えて、発行者の株式を取得し長期的に保有する。提出者は、発行者の財務状況、戦略的決定、取締役会の決定、株価水準、他の投資機会、投資ポートフォリオの集中と分散に関する内部ガイドライン、株式市場の状況、全般的な経済・産業動向などの様々な状況に応じて、発行者の株式や関連金融商品の追加取得、若しくはその全部または一部の売却、その他提出者が適切と考えるあらゆる措置を採る可能性がある。更に提出者は、過小評価されていると提出者が考える発行者の株価および株主価値の向上のため、発行者、その役員・取締役、他の株主等との間で、発行者のコーポレートガバナンス、取締役会の構成、経営、事業、財務状況及び戦略に関して、建設的な対話を行うことを求めていく可能性がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VPVN?type=2,2025-05-16 15:31,0,22313026,法人（外国会社）,変更報告書No.13,E39237,,,,,,,,,,,,,,,,,
株式会社ヴァレックス・パートナーズ,True,Valex Partners,株式会社マーキュリアホールディングス,7347,N/A,post2023,2025-05-08,S100VQ0I,13.22,N/A,N/A,純投資（投資一任契約その他契約に係る顧客の資産運用）及び状況に応じて重要提案行為等を行うこと,,状況に応じて重要提案行為等を行う可能性がある,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VQ0I?type=2,2025-05-15 15:42,2848500,21549900,法人（株式会社）,変更報告書　No.5,E35873,,,,,,,,,,,,,,,,,
タイヨウ・パシフィック・パートナーズ・エルピー(Taiyo Pacific Partners L.P.),True,Taiyo,株式会社ラクーンホールディングス,3031,N/A,post2023,2026-05-08,S100VQJA,14.97,N/A,N/A,純投資及び状況に応じて経営陣への助言、重要提案行為等を行うこと。,,重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100VQJA?type=2,2025-05-15 16:16,3332900,22258943,法人（アメリカ合衆国デラウェア州法に基づくリミテッド・パートナーシップ）,変更報告書No. 13,E37410,,,,,,,,,,,,,,,,,
"グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー(Grantham, Mayo, Van Otterloo &amp; Co. LLC)",False,,オプテックスグループ株式会社,6914,N/A,post2023,2026-06-15,S100YFHJ,3.62,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこともありうる。,,状況に応じて重要提案行為等を行うこともありうる。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100YFHJ?type=2,2026-06-22 10:49,1364200,37735784,法人（外国会社）,変更報告書No.1,E35943,,,,,,,,,,,,,,,,,
カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,True,Kaname Capital,トレックス・セミコンダクター株式会社,6616,N/A,post2023,2026-06-01,S100YEB5,13.4,N/A,N/A,提出者は、投資先企業の価値向上を目指してエンゲージメントを行うが、投資先企業の取締役会が十分に機能していないと見える場合にはその是正を図るためアクティビズムに発展する場合もある（「エスカレーション」と称している）。提出者は、これらエンゲージメントの一環として発行者に対して以下についての提案を行う予定がある。ただし、具体的な内容、時期及び条件は引き続き検討中である。・配当方針の重要な変更・増資・減資方針の重要な変更・資本政策の方針の重要な変更・多額の借財・事業の全部又は一部の譲渡・譲受け・休止又は廃止・重要な資産の処分又は取得・株式交換・株式移転・会社分割・合併・発行者以外の者による支配権の取得・役員構成の重要な変更（役員の数又は任期に係る重要な変更を含む）・代表取締役、代表執行役若しくは執行役員の選解任・特定の個人の役員選任提出者は、発行者の株式の市場株価が割安と判断される水準にとどまる場合、ポートフォリオ投資の一環として、今後3か月以内に発行済み株式総数の5％超の普通株式を市場取引で追加取得する予定がある。ただし、具体的な判断基準、取得価格、数量、時期は未定である。,増配|取締役選任|事業売却,エンゲージメントの一環として、重要提案行為等を行う場合がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100YEB5?type=2,2026-06-19 16:34,1548700,11554200,外国法人,変更報告書No.11,E37907,,,,,,,,,,,,,,,,,
