fund_name,fund_known_activist,activist_label,issuer_name,ticker,sector,regime,entry_date,entry_filing_id,entry_holding_pct,entry_price,entry_mktcap,filing_purpose_text,purpose_flags,important_proposal_text,direction,ambiguous_flag,control_flag,going_private_flag,going_private_kw,source_url,submit_datetime,shares_held,outstanding_shares,indiv_corp,doc_title,filer_edinet,entry_pbr,entry_equity_ratio,entry_net_cash_ratio,entry_roe,stable_holder_pct,proposal_made,proposal_type,agm_result,company_response,exit_date,exit_filing_id,exit_price,holding_months,entry_to_exit_return,trap_label,exit_reason,notes
ピルグリム・パートナーズ・アジア・ピーティーイー・エルティーディー（Pilgrim Partners Asia (Pte.) Ltd.）,True,Pilgrim/NipponValueInvestors,株式会社日本動物高度医療センター,6039,N/A,post2023,2023-12-01,S100SFR3,10.53,N/A,N/A,純投資。但し、投資先企業との対話の一環として、金融商品取引法等に定める重要提案行為が含まれることがある。,,投資先企業との対話の一環として、金融商品取引法等に定める重要提案行為が含まれることがある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SFR3?type=2,2023-12-08 15:15,298700,2836200,法人（外国会社）,変更報告書No.5,E37067,,,,,,,,,,,,,,,,,
3Dインベストメント・パートナーズ・プライベート・リミティッド（3D Investment Partners Pte. Ltd.）,True,3D Investment,サッポロホールディングス株式会社,2501,N/A,post2023,2023-11-29,S100SF7D,11.73,N/A,N/A,純投資及び状況に応じて、経営陣への助言、重要提案行為を行うこと。,,重要提案行為等を行う可能性がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SF7D?type=2,2023-12-06 16:00,9244400,78794298,法人（外国法人）,変更報告書No.6,E33309,,,,,,,,,,,,,,,,,
ニッポン・アクティブ・バリュー・ファンド（NIPPON ACTIVE VALUE FUND PLC）,True,Dalton/NipponActiveValue,栄研化学株式会社,4549,N/A,post2023,2023-11-28,S100SENK,2.99,N/A,N/A,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、ニッポン・アクティブ・バリュー・ファンドは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,new,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SENK?type=2,2023-12-05 15:19,1303500,43541438,法人,大量保有報告書,E36104,,,,,,,,,,,,,,,,,
ニッポン・アクティブ・バリュー・ファンド（NIPPON ACTIVE VALUE FUND PLC）,True,Dalton/NipponActiveValue,株式会社ホギメディカル,3593,N/A,post2023,2023-11-28,S100SELF,1.16,N/A,N/A,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、ニッポン・アクティブ・バリュー・ファンドは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SELF?type=2,2023-12-05 15:20,293100,25256963,法人,変更報告書No.2,E36104,,,,,,,,,,,,,,,,,
オービス・インベストメント・マネジメント・リミテッド（Orbis Investment Management Limited）,False,,TOYO TIRE株式会社,5105,N/A,post2023,2023-11-27,S100SDWC,4.88,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと。,,状況に応じて重要提案行為等を行う予定である。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SDWC?type=2,2023-12-04 15:12,7526459,154111029,法人（外国法人）,変更報告書No.4,E09662,,,,,,,,,,,,,,,,,
3Dインベストメント・パートナーズ・プライベート・リミティッド（3D Investment Partners Pte. Ltd.）,True,3D Investment,株式会社東北新社,2329,N/A,post2023,2023-11-27,S100SELE,13.38,N/A,N/A,純投資及び状況に応じて経営陣への助言、重要提案行為等を行うこと。,,重要提案行為等を行う可能性がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SELE?type=2,2023-12-04 16:00,6252100,46735334,法人（外国法人）,変更報告書No.4,E33309,,,,,,,,,,,,,,,,,
3Dインベストメント・パートナーズ・プライベート・リミティッド（3D Investment Partners Pte. Ltd.）,True,3D Investment,サッポロホールディングス株式会社,2501,N/A,post2023,2023-11-21,S100SDNX,10.56,N/A,N/A,純投資及び状況に応じて、経営陣への助言、重要提案行為を行うこと。,,重要提案行為等を行う可能性がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SDNX?type=2,2023-11-29 16:00,8324400,78794298,法人（外国法人）,変更報告書No.5,E33309,,,,,,,,,,,,,,,,,
ニッポン・アクティブ・バリュー・ファンド（NIPPON ACTIVE VALUE FUND PLC）,True,Dalton/NipponActiveValue,あすか製薬ホールディングス株式会社,4886,N/A,post2023,2023-11-16,S100SCKP,2.8,N/A,N/A,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、ニッポン・アクティブ・バリュー・ファンドは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,new,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SCKP?type=2,2023-11-24 13:18,856000,30563199,法人,大量保有報告書,E36104,,,,,,,,,,,,,,,,,
オアシス　マネジメント　カンパニー　リミテッド（Oasis Management Company Ltd.）,True,Oasis,ライフネット生命保険株式会社,7157,N/A,post2023,2023-11-16,S100SBYC,13.22,N/A,N/A,ポートフォリオ投資および重要提案行為。,,株主価値を守るため、重要提案行為を行うことがある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SBYC?type=2,2023-11-24 15:27,10614900,80279827,法人（ケイマン諸島法人）,変更報告書（2）,E31883,,,,,,,,,,,,,,,,,
シンフォニー・フィナンシャル・パートナーズ（シンガポール）ピーティーイー・リミテッド (Symphony Financial Partners (Singapore) Pte. Ltd.),True,Symphony Financial,株式会社要興業,6566,N/A,post2023,2023-11-15,S100SBAW,23.97,N/A,N/A,純投資及び状況に応じて重要提案行為を行うこともありうる,,状況に応じて重要提案行為を行うこともありうる,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SBAW?type=2,2023-11-22 15:12,3805000,15871400,法人（外国法人）,変更報告書No.13,E30522,,,,,,,,,,,,,,,,,
